name,height,weight,birthDate,draftRound,draftOverall,draftYear,undrafted
Jalen McDaniels,6-9,205lb,1998-01-31,2nd,52nd,2019,False
Jordan McLaughlin,5-11,185lb,1996-04-09,-1,-1,-1,True
Nicolò Melli,6-9,236lb,1991-01-26,-1,-1,-1,True
Eric Mika,6-10,230lb,1995-01-05,-1,-1,-1,True
Adam Mokoka,6-4,190lb,1998-07-18,-1,-1,-1,True
Matt Mooney,6-3,199lb,1997-02-07,-1,-1,-1,True
Ja Morant,6-3,174lb,1999-08-10,1st,2nd,2019,False
Juwan Morgan,6-7,232lb,1997-04-17,-1,-1,-1,True
Mychal Mulder,6-3,184lb,1994-06-12,-1,-1,-1,True
Malik Newman,6-3,190lb,1997-02-21,-1,-1,-1,True
Zach Norvell,6-5,206lb,1997-12-09,-1,-1,-1,True
Jaylen Nowell,6-4,201lb,1999-07-09,2nd,43rd,2019,False
Kendrick Nunn,6-2,190lb,1995-08-03,-1,-1,-1,True
KZ Okpala,6-8,215lb,1999-04-28,2nd,32nd,2019,False
Miye Oni,6-5,206lb,1997-08-04,2nd,58th,2019,False
Tariq Owens,6-10,205lb,1995-06-30,-1,-1,-1,True
Eric Paschall,6-6,255lb,1996-11-04,2nd,41st,2019,False
Anžejs Pasečņiks,7-1,229lb,1995-12-20,1st,25th,2017,False
Norvel Pelle,6-10,231lb,1993-02-03,-1,-1,-1,True
Vincent Poirier,7-0,235lb,1993-10-17,-1,-1,-1,True
Shamorie Ponds,6-0,180lb,1998-06-29,-1,-1,-1,True
Jordan Poole,6-4,194lb,1999-06-19,1st,28th,2019,False
Kevin Porter Jr.,6-4,203lb,2000-05-04,1st,30th,2019,False
Michael Porter Jr.,6-10,218lb,1998-06-29,1st,14th,2018,False
Josh Reaves,6-4,214lb,1997-06-04,-1,-1,-1,True
Cam Reddish,6-8,218lb,1999-09-01,1st,10th,2019,False
Naz Reid,6-9,264lb,1999-08-26,-1,-1,-1,True
Justin Robinson,6-1,195lb,1997-10-12,-1,-1,-1,True
Isaiah Roby,6-8,230lb,1998-02-03,2nd,45th,2019,False
Luka Šamanić,6-10,227lb,2000-01-09,1st,19th,2019,False
Admiral Schofield,6-5,241lb,1997-03-30,2nd,42nd,2019,False
Marial Shayok,6-5,198lb,1995-07-26,2nd,54th,2019,False
Chris Silva,6-8,234lb,1996-09-19,-1,-1,-1,True
Alen Smailagić,6-10,215lb,2000-08-18,2nd,39th,2019,False
Max Strus,6-5,215lb,1996-03-28,-1,-1,-1,True
Matt Thomas,6-4,190lb,1994-08-04,-1,-1,-1,True
Matisse Thybulle,6-5,201lb,1997-03-04,1st,20th,2019,False
Juan Toscano-Anderson,6-6,209lb,1993-04-10,-1,-1,-1,True
Rayjon Tucker,6-3,209lb,1997-09-24,-1,-1,-1,True
Gabe Vincent,6-3,200lb,1996-06-14,-1,-1,-1,True
Dean Wade,6-9,228lb,1996-11-20,-1,-1,-1,True
P.J. Washington,6-7,230lb,1998-08-23,1st,12th,2019,False
Tremont Waters,5-10,175lb,1998-01-10,2nd,51st,2019,False
Paul Watson,6-6,210lb,1994-12-30,-1,-1,-1,True
Quinndary Weatherspoon,6-3,205lb,1996-09-10,2nd,49th,2019,False
Coby White,6-5,195lb,2000-02-16,1st,7th,2019,False
Grant Williams,6-6,236lb,1998-11-30,1st,22nd,2019,False
Nigel Williams-Goss,6-2,190lb,1994-09-16,2nd,55th,2017,False
Zion Williamson,6-6,284lb,2000-07-06,1st,1st,2019,False
Justin Wright-Foreman,6-0,190lb,1997-10-27,2nd,53rd,2019,False
Precious Achiuwa,6-8,225lb,1999-09-19,1st,20th,2020,False
Ty-Shon Alexander,6-3,195lb,1998-07-16,-1,-1,-1,True
Cole Anthony,6-2,185lb,2000-05-15,1st,15th,2020,False
Deni Avdija,6-9,210lb,2001-01-03,1st,9th,2020,False
Udoka Azubuike,6-10,280lb,1999-09-17,1st,27th,2020,False
LaMelo Ball,6-7,180lb,2001-08-22,1st,3rd,2020,False
Desmond Bane,6-5,215lb,1998-06-25,1st,30th,2020,False
Saddiq Bey,6-7,215lb,1999-04-09,1st,19th,2020,False
Tyler Bey,6-7,215lb,1998-02-10,2nd,36th,2020,False
Keljin Blevins,6-4,200lb,1995-11-24,-1,-1,-1,True
Amida Brimah,6-10,230lb,1994-02-11,-1,-1,-1,True
Armoni Brooks,6-3,195lb,1998-06-05,-1,-1,-1,True
Elijah Bryant,6-5,210lb,1995-04-19,-1,-1,-1,True
Facundo Campazzo,5-10,195lb,1991-03-23,-1,-1,-1,True
Devin Cannady,6-2,183lb,1996-05-21,-1,-1,-1,True
Vernon Carey Jr.,6-9,270lb,2001-02-25,2nd,32nd,2020,False
Nate Darling,6-6,200lb,1998-08-30,-1,-1,-1,True
Gabriel Deck,6-8,232lb,1995-02-08,-1,-1,-1,True
Mamadi Diakite,6-9,228lb,1997-01-21,-1,-1,-1,True
Devon Dotson,6-2,185lb,1999-08-02,-1,-1,-1,True
Anthony Edwards,6-4,225lb,2001-08-05,1st,1st,2020,False
CJ Elleby,6-6,200lb,2000-06-16,2nd,46th,2020,False
Malik Fitts,6-8,230lb,1997-07-04,-1,-1,-1,True
Malachi Flynn,6-1,175lb,1998-05-10,1st,29th,2020,False
Trent Forrest,6-4,210lb,1998-06-12,-1,-1,-1,True
Robert Franks,6-7,225lb,1996-12-18,-1,-1,-1,True
Anthony Gill,6-7,230lb,1992-10-17,-1,-1,-1,True
Freddie Gillespie,6-9,245lb,1997-06-14,-1,-1,-1,True
Josh Green,6-5,200lb,2000-11-16,1st,18th,2020,False
Ashton Hagans,6-3,190lb,1999-07-08,-1,-1,-1,True
Tyrese Haliburton,6-5,185lb,2000-02-29,1st,12th,2020,False
Josh Hall,6-9,190lb,2000-10-08,-1,-1,-1,True
R.J. Hampton,6-4,175lb,2001-02-07,1st,24th,2020,False
Jalen Harris,6-5,195lb,1998-08-14,2nd,59th,2020,False
Killian Hayes,6-5,195lb,2001-07-27,1st,7th,2020,False
Nate Hinton,6-5,210lb,1999-06-08,-1,-1,-1,True
Markus Howard,5-10,175lb,1999-03-03,-1,-1,-1,True
Elijah Hughes,6-5,215lb,1998-03-10,2nd,39th,2020,False
Isaiah Joe,6-4,165lb,1999-07-02,2nd,49th,2020,False
Mason Jones,6-4,200lb,1998-07-21,-1,-1,-1,True
Tre Jones,6-1,185lb,2000-01-08,2nd,41st,2020,False
Nathan Knight,6-10,253lb,1997-09-20,-1,-1,-1,True
Anthony Lamb,6-6,227lb,1998-01-20,-1,-1,-1,True
Saben Lee,6-2,183lb,1999-06-23,2nd,38th,2020,False
Kira Lewis Jr.,6-1,170lb,2001-04-06,1st,13th,2020,False
Didi Louzada,6-5,188lb,1999-02-07,2nd,35th,2019,False
Will Magnay,6-10,234lb,1998-06-10,-1,-1,-1,True
Théo Maledon,6-4,175lb,2001-06-12,2nd,34th,2020,False
Karim Mané,6-3,190lb,2000-05-16,-1,-1,-1,True
Nico Mannion,6-2,190lb,2001-03-14,2nd,48th,2020,False
Naji Marshall,6-7,220lb,1998-01-24,-1,-1,-1,True
Kenyon Martin Jr.,6-6,215lb,2001-01-06,2nd,52nd,2020,False
Dakota Mathias,6-4,200lb,1995-07-11,-1,-1,-1,True
Tyrese Maxey,6-2,200lb,2000-11-04,1st,21st,2020,False
Skylar Mays,6-4,205lb,1997-09-05,2nd,50th,2020,False
Jaden McDaniels,6-9,185lb,2000-09-29,1st,28th,2020,False
Sean McDermott,6-6,195lb,1996-11-03,-1,-1,-1,True
Sam Merrill,6-4,205lb,1996-05-15,2nd,60th,2020,False
Aaron Nesmith,6-5,215lb,1999-10-16,1st,14th,2020,False
Zeke Nnaji,6-9,240lb,2001-01-09,1st,22nd,2020,False
Jordan Nwora,6-8,225lb,1998-09-09,2nd,45th,2020,False
Chuma Okeke,6-6,229lb,1998-08-18,1st,16th,2019,False
Onyeka Okongwu,6-8,235lb,2000-12-11,1st,6th,2020,False
Isaac Okoro,6-5,225lb,2001-01-26,1st,5th,2020,False
Cameron Oliver,6-8,239lb,1996-07-11,-1,-1,-1,True
Daniel Oturu,6-8,240lb,1999-09-20,2nd,33rd,2020,False
Reggie Perry,6-8,250lb,2000-03-21,2nd,57th,2020,False
Aleksej Pokusevski,7-0,190lb,2001-12-26,1st,17th,2020,False
Jontay Porter,6-11,240lb,1999-11-15,-1,-1,-1,True
Payton Pritchard,6-1,195lb,1998-01-28,1st,26th,2020,False
Immanuel Quickley,6-3,190lb,1999-06-17,1st,25th,2020,False
Jahmi'us Ramsey,6-3,190lb,2001-06-09,2nd,43rd,2020,False
Paul Reed,6-9,210lb,1999-06-14,2nd,58th,2020,False
Nick Richards,7-0,245lb,1997-11-29,2nd,42nd,2020,False
Grant Riller,6-2,190lb,1997-02-08,2nd,56th,2020,False
Jay Scrubb,6-5,220lb,2000-09-01,2nd,55th,2020,False
Deividas Sirvydis,6-8,190lb,2000-06-10,2nd,37th,2019,False
Jalen Smith,6-10,215lb,2000-03-16,1st,10th,2020,False
Cassius Stanley,6-5,190lb,1999-08-18,2nd,54th,2020,False
Lamar Stevens,6-6,230lb,1997-07-09,-1,-1,-1,True
Isaiah Stewart,6-8,250lb,2001-05-22,1st,16th,2020,False
Jae'Sean Tate,6-4,230lb,1995-10-28,-1,-1,-1,True
Tyrell Terry,6-2,160lb,2000-09-28,2nd,31st,2020,False
Brodric Thomas,6-5,185lb,1997-01-28,-1,-1,-1,True
Killian Tillie,6-9,220lb,1998-03-05,-1,-1,-1,True
Xavier Tillman Sr.,6-8,245lb,1999-01-12,2nd,35th,2020,False
Obi Toppin,6-9,220lb,1998-03-04,1st,8th,2020,False
Devin Vassell,6-5,200lb,2000-08-23,1st,11th,2020,False
Greg Whittington,6-8,210lb,1993-02-07,-1,-1,-1,True
Patrick Williams,6-7,215lb,2001-08-26,1st,4th,2020,False
Dylan Windler,6-6,196lb,1996-09-22,1st,26th,2019,False
Cassius Winston,6-1,185lb,1998-02-28,2nd,53rd,2020,False
James Wiseman,7-0,240lb,2001-03-31,1st,2nd,2020,False
Robert Woodard II,6-6,235lb,1999-09-22,2nd,40th,2020,False
